"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 19 05:00:27 UTC 2023","Sat Aug 19 05:00:31 UTC 2023","3778","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Aug 19 05:23:35 UTC 2023","Sat Aug 19 05:23:41 UTC 2023","5399","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"skipped","Sat Aug 19 04:15:51 UTC 2023","Sat Aug 19 04:15:51 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Aug 19 05:00:34 UTC 2023","Sat Aug 19 05:00:38 UTC 2023","4033","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Sat Aug 19 04:53:24 UTC 2023","Sat Aug 19 04:53:24 UTC 2023","1","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sat Aug 19 04:33:19 UTC 2023","Sat Aug 19 04:33:20 UTC 2023","1517","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Aug 19 03:43:37 UTC 2023","Sat Aug 19 03:43:38 UTC 2023","580","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Aug 19 04:56:59 UTC 2023","Sat Aug 19 04:57:46 UTC 2023","46847","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sat Aug 19 03:46:29 UTC 2023","Sat Aug 19 03:46:35 UTC 2023","5809","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Aug 19 03:43:12 UTC 2023","Sat Aug 19 03:43:35 UTC 2023","22588","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sat Aug 19 05:00:18 UTC 2023","Sat Aug 19 05:00:21 UTC 2023","3172","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Aug 19 05:20:12 UTC 2023","Sat Aug 19 05:20:35 UTC 2023","22557","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Aug 19 03:47:11 UTC 2023","Sat Aug 19 03:47:11 UTC 2023","505","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Aug 19 05:00:56 UTC 2023","Sat Aug 19 05:01:06 UTC 2023","10076","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sat Aug 19 03:47:07 UTC 2023","Sat Aug 19 03:47:11 UTC 2023","3735","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"skipped","Sat Aug 19 06:25:58 UTC 2023","Sat Aug 19 06:25:58 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sat Aug 19 05:00:38 UTC 2023","Sat Aug 19 05:00:56 UTC 2023","17640","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Aug 19 03:43:10 UTC 2023","Sat Aug 19 03:43:12 UTC 2023","2001","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"skipped","Sat Aug 19 04:15:51 UTC 2023","Sat Aug 19 04:15:51 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sat Aug 19 05:20:45 UTC 2023","Sat Aug 19 05:20:47 UTC 2023","2544","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"skipped","Sat Aug 19 04:15:51 UTC 2023","Sat Aug 19 04:15:51 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Aug 19 04:27:22 UTC 2023","Sat Aug 19 04:27:24 UTC 2023","2267","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sat Aug 19 05:11:46 UTC 2023","Sat Aug 19 05:16:31 UTC 2023","284971","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Sat Aug 19 04:15:51 UTC 2023","Sat Aug 19 04:15:51 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Sat Aug 19 03:45:41 UTC 2023","Sat Aug 19 03:46:00 UTC 2023","18797","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Aug 19 03:00:11 UTC 2023","Sat Aug 19 03:00:12 UTC 2023","972","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Aug 19 03:06:02 UTC 2023","Sat Aug 19 03:06:05 UTC 2023","3121","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"skipped","Sat Aug 19 04:53:24 UTC 2023","Sat Aug 19 04:53:24 UTC 2023","1","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sat Aug 19 03:41:51 UTC 2023","Sat Aug 19 03:42:11 UTC 2023","19750","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Aug 19 02:57:37 UTC 2023","Sat Aug 19 02:57:45 UTC 2023","7879","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sat Aug 19 05:23:41 UTC 2023","Sat Aug 19 05:23:49 UTC 2023","7735","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sat Aug 19 03:46:11 UTC 2023","Sat Aug 19 03:46:14 UTC 2023","2984","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Sat Aug 19 04:33:12 UTC 2023","Sat Aug 19 04:33:13 UTC 2023","1448","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sat Aug 19 05:23:17 UTC 2023","Sat Aug 19 05:23:35 UTC 2023","18311","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"skipped","Sat Aug 19 06:25:58 UTC 2023","Sat Aug 19 06:25:58 UTC 2023","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sat Aug 19 03:55:03 UTC 2023","Sat Aug 19 03:55:24 UTC 2023","20242","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sat Aug 19 03:46:00 UTC 2023","Sat Aug 19 03:46:11 UTC 2023","10517","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sat Aug 19 03:06:31 UTC 2023","Sat Aug 19 03:06:32 UTC 2023","698","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Sat Aug 19 04:27:24 UTC 2023","Sat Aug 19 04:27:25 UTC 2023","451","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sat Aug 19 05:23:41 UTC 2023","Sat Aug 19 05:23:41 UTC 2023","388","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Aug 19 05:00:21 UTC 2023","Sat Aug 19 05:00:24 UTC 2023","3065","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sat Aug 19 04:32:54 UTC 2023","Sat Aug 19 04:33:12 UTC 2023","18007","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Aug 19 05:11:28 UTC 2023","Sat Aug 19 05:11:45 UTC 2023","17131","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sat Aug 19 05:20:47 UTC 2023","Sat Aug 19 05:20:52 UTC 2023","4386","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"broken","Sat Aug 19 04:53:24 UTC 2023","Sat Aug 19 04:53:24 UTC 2023","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sat Aug 19 05:23:51 UTC 2023","Sat Aug 19 05:23:52 UTC 2023","876","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Aug 19 03:46:54 UTC 2023","Sat Aug 19 03:47:07 UTC 2023","13196","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sat Aug 19 02:57:11 UTC 2023","Sat Aug 19 02:57:37 UTC 2023","25805","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Aug 19 03:06:28 UTC 2023","Sat Aug 19 03:06:31 UTC 2023","3034","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"skipped","Sat Aug 19 04:15:51 UTC 2023","Sat Aug 19 04:15:51 UTC 2023","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Aug 19 04:33:13 UTC 2023","Sat Aug 19 04:33:19 UTC 2023","5273","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Sat Aug 19 05:20:35 UTC 2023","Sat Aug 19 05:20:45 UTC 2023","9969","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sat Aug 19 05:26:22 UTC 2023","Sat Aug 19 05:26:36 UTC 2023","14555","","21. Forgot password function","","","","1. Direct to forgot password page",""
"failed","Sat Aug 19 04:27:25 UTC 2023","Sat Aug 19 04:30:13 UTC 2023","168394","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Sat Aug 19 04:15:51 UTC 2023","Sat Aug 19 04:15:51 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sat Aug 19 03:03:23 UTC 2023","Sat Aug 19 03:03:31 UTC 2023","8476","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"skipped","Sat Aug 19 04:53:24 UTC 2023","Sat Aug 19 04:53:24 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
